objectname,RA,DEC,period,PeriodError,magdata,sector,R2
TIC 348897766,106.0341078,-63.43075018,0.442094868,0.0003250960483743,0.4298829,"[37, 28, 3, 27, 4, 6, 10, 1, 34, 31, 35, 5, 63, 61, 33, 9, 65, 39, 36, 29, 7, 30, 13, 64, 8, 11]",0.999926741
TIC 441734144,258.5581599,76.70397497,0.325321781,6.992743630073554e-05,0.786702194,"[14, 16, 55, 41, 54, 24, 19, 21, 47, 58, 60, 40, 50, 48, 49, 53, 25, 22, 52, 26, 18, 17, 56, 57, 51]",0.999925301
TIC 117515123,339.8517167,-46.87560464,0.259502075,7.598772669630798e-05,0.650039452,[1],0.999924443
TIC 82120025,197.6342247,-4.159040172,0.311309867,7.28216401003726e-05,0.390794882,[46],0.999923349
TIC 178938437,68.35356495,-23.93880631,0.623217197,0.000128375751166,0.283419108,[5],0.999923194
TIC 5283033,107.7410673,-3.878655263,0.67767719,0.0001216555033009,0.495941972,[33],0.999922623
TIC 74073423,83.09282062,25.35210859,0.307467423,0.0001524931112978,0.460922497,[43],0.999922361
TIC 213067604,75.51552592,-2.802081425,0.321990073,6.014716393766858e-05,0.683610752,[5],0.999922119
TIC 11598102,20.38732383,-29.13131113,0.423319453,0.0001881884300079,0.428539753,[3],0.999921782
TIC 152592870,65.1979816,-45.25790611,0.513440053,8.52389088771016e-05,0.599455144,"[31, 32, 4]",0.999921063
TIC 55753802,181.5824655,57.17644136,0.415880621,0.0002785556461538,0.427890303,"[41, 48, 15, 22, 21]",0.999920653
TIC 358790031,161.2782167,16.33768899,0.408440025,7.622066440522172e-05,0.245484536,"[22, 45, 46]",0.999919871
TIC 9070070,356.8264397,-8.086693709,0.48133844,0.0002122296797744,0.342381772,[2],0.999918765
TIC 381950094,76.68788332,-59.05095994,0.426942851,8.891264819748411e-05,0.202270519,"[34, 28, 3, 5, 36, 32, 4, 29, 35, 37, 6, 2, 38, 27, 30, 31, 33, 10, 12, 39, 9, 7, 8, 13]",0.999918209
TIC 219738202,241.5723634,62.76280269,0.579170544,0.0005601504855797,0.514879406,"[58, 17, 55, 57, 41, 24, 47, 25, 16, 56, 48, 21, 23, 49, 15, 22, 54, 52, 50, 51, 18]",0.999917523
TIC 268652258,17.44072624,-20.21650114,0.256349793,8.051650031767535e-05,0.37723,[3],0.999917325
TIC 267043786,4.339640834,-71.91579132,0.594804861,9.576855981286275e-05,0.5235962,"[27, 1, 28]",0.99991659
TIC 342148566,239.7766847,-63.29705413,0.266885209,9.10069419499189e-05,0.798437861,"[66, 65]",0.999916346
TIC 242328834,212.6719193,-47.76899673,0.393903807,0.0001287198073763,0.147478519,"[65, 38, 11]",0.999916271
TIC 139703005,66.49419764,-21.48255141,0.332108812,0.0001206362574057,0.508372036,[5],0.999916136
TIC 235000061,351.065056,-62.368523,0.357721231,0.0001705585507271,0.57462591,[1],0.999914671
TIC 141148818,178.9084893,47.25739889,0.710658651,0.0001256941627442,0.280227549,"[48, 49]",0.999914556
TIC 16617827,307.7718817,38.7834783,0.290487494,0.0001519692210462,0.806731029,"[41, 15, 55]",0.999914009
TIC 47309500,231.0353601,-56.83743373,0.386601237,7.320033235547744e-05,0.509408077,"[65, 12]",0.999913859
TIC 176958076,101.217426,-66.615788,0.403149397,0.0002610299649604,0.265876899,"[8, 13, 3, 10, 7, 2, 4, 11, 5, 9, 1, 12]",0.999912387
TIC 374265995,347.883692,36.89308533,0.33176077,0.0001319564830571,0.787338375,"[56, 16, 57]",0.999911697
TIC 355651035,358.5990217,-57.94091542,0.583868059,0.000542141750421,0.444134722,[2],0.999911335
TIC 233207585,266.0013916,70.2588383,0.308036421,7.907434976258282e-05,0.528666712,"[19, 49, 51, 24, 14, 58, 52, 41, 60, 16, 23, 18, 22, 48, 57, 59, 25, 53, 55, 17, 21, 26, 15, 54]",0.999911107
TIC 246893580,9.117042405,-25.67303676,0.512073882,8.923818769131834e-05,0.636327704,[29],0.999910758
TIC 401760851,338.0149247,-78.88154748,0.279315446,8.193233740867765e-05,0.478559455,[27],0.999910564
TIC 97578357,106.971039,-34.83339756,0.36740466,0.0002046474243625,0.307598716,"[33, 61, 34]",0.999910457
TIC 152507230,63.57649803,-46.44919726,0.311794716,6.319930279749114e-05,0.837896017,"[5, 4]",0.999910122
TIC 198457457,261.8344024,56.37497584,0.40353425,0.0002270342332489,0.221736877,"[24, 57, 56, 49, 18, 19, 58, 59, 15, 16, 17, 23, 41, 48, 22, 60, 53, 47, 20, 52, 21, 51, 26, 40, 55, 54, 50]",0.999910066
TIC 118268204,31.07669618,24.00063671,0.406162266,0.0001056109070706,0.491669101,"[42, 43]",0.99990952
TIC 61011477,37.77805435,22.19831524,0.396063402,9.752581536812234e-05,0.233910215,"[42, 44, 43]",0.999908246
TIC 441764197,261.026237,73.91050782,0.273011791,5.3704930997018335e-05,0.546363884,"[57, 58, 56, 26, 60, 49, 51]",0.999908172
TIC 243352373,290.2686322,56.3283295,0.334361364,6.752376062460187e-05,0.406417979,"[40, 41, 14, 56, 54, 20, 57, 16, 59, 26, 60, 53, 23, 15, 50, 55]",0.999907954
TIC 468293391,7.116532919,78.96184917,0.317366653,0.0001367712955193,0.369844794,"[58, 26, 24, 52, 19, 18]",0.999907818
TIC 201291281,2.69732,-57.48678,0.809915424,0.0001241569076483,1.017602726,"[2, 1]",0.999906485
TIC 279484342,58.68239287,-14.93518053,0.632971934,0.0001595313380713,0.654514574,"[5, 4]",0.999906392
TIC 161262226,341.2046078,-48.17024691,0.307261816,0.0001217398251045,0.373154685,[1],0.999905905
TIC 243319567,289.7003303,55.59433861,0.439247368,9.653115530767064e-05,0.592498015,"[41, 54, 57, 14, 56, 40, 15, 60, 26, 23, 16, 53, 59, 55]",0.999905595
TIC 22457438,186.889632,-18.608055,0.360417207,0.0001471571810237,0.649257697,[10],0.999905558
TIC 32200310,332.4455443,-27.06708848,0.36033903,0.0001336970095486,0.654321306,[1],0.999905179
TIC 29287800,237.6351428,37.83543148,0.376565683,7.490756481848536e-05,0.478984614,[24],0.999904963
TIC 333870949,309.3401035,75.60052477,0.278432704,6.358834074523376e-05,0.333990024,"[53, 52, 57, 23, 58, 26, 25, 24, 17, 60, 19]",0.999903886
TIC 314459000,319.1213059,55.38617321,0.857362912,0.0004055506346812,0.401591348,"[57, 16, 15, 17, 56]",0.999903368
TIC 174157888,351.7778556,45.55611624,0.380383437,0.0002418470085906,0.542121472,"[17, 57]",0.999903247
TIC 199497213,198.7551618,21.23158245,0.427611255,9.679391290166948e-05,0.244045137,"[23, 50]",0.999902659
TIC 8673277,248.7581549,33.21326957,0.420851909,7.853108899634702e-05,0.139664244,"[24, 51, 52, 25]",0.999902536
TIC 388179896,51.89797134,-72.84865466,0.309785791,0.0001302364832814,0.746157121,"[66, 9, 6, 2, 3, 62, 63, 13]",0.999902398
TIC 229461186,295.1026299,60.92027458,0.402792885,0.0002083919866267,0.400532998,"[55, 57, 54, 47, 16, 41, 17, 14, 20, 48, 56, 40, 15, 23, 60, 59, 21, 58, 51, 53, 50, 18]",0.999901879
TIC 38687360,57.97225991,-10.53040731,0.507301151,0.0001022294659339,0.486787246,"[31, 5]",0.999901578
TIC 363570632,171.8470029,4.705184977,0.446755381,0.0002082894654442,0.338473838,"[46, 45]",0.999901224
TIC 254303140,5.86666972,-20.69722794,0.414743119,0.0001593682296155,0.365330155,[29],0.999900611
TIC 237222530,296.2363549,74.78585717,0.535112536,0.0004768496642277,0.334518181,"[48, 49, 47, 52, 50, 51, 53]",0.999900478
TIC 423833748,62.65624805,-38.92805201,0.426946347,0.000270912811574,0.312536761,"[4, 5]",0.999900351
TIC 157175641,175.7003389,-35.81597312,0.370207653,0.000216007147162,0.528825759,"[36, 63, 10, 37]",0.999899911
TIC 364028674,267.266035,18.4217273,0.637205699,0.0001175826242376,0.465282143,[26],0.999899524
TIC 467691154,61.20548113,33.95699883,0.373143684,7.302757369062234e-05,0.866871936,[59],0.999899441
TIC 387463207,42.46787722,8.938122496,0.379998069,7.684906528080539e-05,0.505093749,"[43, 42, 44, 4]",0.999899238
TIC 160082094,223.6084355,86.72706107,0.337157248,6.162757777303067e-05,0.729593915,"[40, 53, 47, 52]",0.999899
TIC 323442776,70.8999163,-84.81109545,1.148166502,0.000147758636466,0.489079665,"[39, 65, 12, 27, 13, 66]",0.999898368
TIC 188766090,261.105328,49.64368331,0.529359186,0.0001094608667969,0.45702466,"[24, 26, 25]",0.999898108
TIC 88646716,135.8505252,38.09849926,0.414887239,7.793657806332355e-05,0.364794741,[21],0.999898048
TIC 98777963,44.99043003,-16.45566584,0.844420142,0.0001477153043231,0.316686369,"[4, 31]",0.999897351
TIC 340782794,19.15862735,-39.70870366,0.379915979,9.698628988865972e-05,0.486625136,"[2, 3]",0.999896537
TIC 158565141,222.3652286,57.29863449,0.275251045,0.0001088130128579,0.322842799,"[15, 50, 22, 16, 49, 23]",0.999896462
TIC 22457437,186.8898129,-18.60776664,0.360528508,0.0002078225259048,0.926581801,[63],0.999896445
TIC 309402205,124.813278,-65.18751103,0.744874526,0.0001332900730078,0.833738394,"[65, 63, 64, 62, 61, 9, 10]",0.999896406
TIC 164776925,27.39038446,-19.62479227,0.340797593,8.296885191549378e-05,0.578641598,[3],0.999895071
TIC 294273900,108.710955,-59.267834,0.472594802,0.0003702369750452,0.445672732,"[11, 37, 39, 9, 64, 36, 32, 12, 31, 38, 2, 29, 65, 3, 28, 30, 10, 6, 33, 63, 27, 66, 13, 62, 7, 61, 34, 4, 5, 1, 35]",0.999894731
TIC 219176881,91.48674747,-53.71442911,0.463812213,0.0003483867349586,0.316215499,"[5, 65, 61, 66, 4]",0.999894699
TIC 261259291,90.08124973,-80.59809544,0.46231637,0.0001477151663311,0.170985885,"[28, 31, 4, 1, 27, 34, 38, 13, 11, 12, 8, 39]",0.999894691
TIC 332918217,84.873237,-8.14874,0.444243353,0.0001381207213816,0.326979365,[6],0.999894302
TIC 116266205,220.9634596,47.71746816,0.387759346,6.989686879478223e-05,0.271654328,"[49, 50]",0.999894211
TIC 219900027,263.838687,68.63861656,0.514991717,0.0001867662570007,0.554000246,"[54, 56, 20, 60, 19, 16, 25, 23, 58, 59, 40, 24, 53, 50, 14, 15, 49, 48, 17, 55, 22, 26, 52, 47, 18]",0.999893412
